name,address,telephone_number,type,opening_hours,closing_hours
57 MEDICAL CLINIC (GEYLANG BAHRU),"57 GEYLANG BAHRU #01-3505, SINGAPORE
330057",66947078,G,8:00:00 am,8:00:00 pm
57 MEDICAL CLINIC (KALLANG AIRPORT),"32 CASSIA CRESCENT #01-62, SINGAPORE 390032",65189262,G,8:00:00 am,8:00:00 pm
57 MEDICAL CLINIC (PARKWAY CENTRE),"1 MARINE PARADE CENTRAL #02-05 PARKWAY
CENTRE, SINGAPORE 449408",62149612,G,8:00:00 am,8:00:00 pm
57 MEDICAL CLINIC (PEK KIO),"41 CAMBRIDGE ROAD #01-17, SINGAPORE 210041",65399237,G,8:00:00 am,8:00:00 pm
57 MEDICAL CLINIC (WOODLANDS),"166 WOODLANDS STREET 13 #01-533,
SINGAPORE 730166",65399236,G,8:00:00 am,8:00:00 pm
57 MEDICAL CLINIC (YISHUN),"618 YISHUN RING ROAD #01-3238, SINGAPORE
760618",62353490,G,8:00:00 am,8:00:00 pm
888 PLAZA FAMILY CLINIC,"888 WOODLANDS DRIVE 50 #01-739 888 PLAZA,
SINGAPORE 730888",63688762,G,8:00:00 am,8:00:00 pm
ACUMED MEDICAL GROUP,"111 WOODLANDS STREET 13 #01-78, SINGAPORE
730111",63627789,G,8:00:00 am,8:00:00 pm
ACUMED MEDICAL GROUP,"801 TAMPINES AVENUE 4 #01-269 TAMPINES
POLYVIEW, SINGAPORE 520801",62231070,G,8:00:00 am,8:00:00 pm
ACUMED MEDICAL GROUP,"301 BOON LAY WAY #01-18/19 BOON LAY MRT STATION, SINGAPORE 649846",65159919,G,8:00:00 am,8:00:00 pm
ACUMED MEDICAL GROUP,"214 BEDOK NORTH STREET 1 #01-165,
SINGAPORE 460214",64438077,G,8:00:00 am,8:00:00 pm
ACUMED MEDICAL GROUP,"64 YUNG KUANG ROAD #01-107, SINGAPORE
610064",62656422,G,8:00:00 am,8:00:00 pm
ACUMED MEDICAL GROUP,"38 TEBAN GARDENS ROAD #01-318, SINGAPORE
600038",65619366,G,8:00:00 am,8:00:00 pm
ACUMED MEDICAL GROUP,"1 JURONG WEST CENTRAL 2 #B1A-19E JURONG POINT SHOPPING CENTRE JP1, SINGAPORE 648886",67923822,G,8:00:00 am,8:00:00 pm
ACUMED MEDICAL GROUP,"215C COMPASSVALE DRIVE #01-02, SINGAPORE
543215",63850113,G,8:00:00 am,8:00:00 pm
ACUMED MEDICAL GROUP,"7 WALLICH STREET #B1-15 GUOCO TOWER, SINGAPORE 078884",63868980,G,8:00:00 am,8:00:00 pm
ACUMED MEDICAL GROUP,"71 PIONEER ROAD #01-06 TUAS AMENITY
CENTRE, SINGAPORE 639591",68615996,G,8:00:00 am,8:00:00 pm
ACUMED MEDICAL GROUP,"1 JOO KOON CIRCLE #01-23 FAIRPRICE HUB, SINGAPORE 629117",68615755,G,8:00:00 am,8:00:00 pm
AFFINITY MEDICAL CLINIC,"253 SERANGOON CENTRAL DRIVE #01-187,
SINGAPORE 550253",62808080,G,8:00:00 am,8:00:00 pm
